epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,2713.18,1.28637,1.29951,3.2558,0.00498,0.44292,0.81249,0.62767,0.7209,0.52569,0.76156,0.5998,0.68064,0.4596,1.41472,1.83927,5.93941,0.00725,0,0.00033136,0.00033136,0.00033136
28,2789.06,1.27231,1.27203,3.08232,0.00482,0.4306,0.74737,0.67917,0.70578,0.52661,0.70339,0.65736,0.66383,0.45582,1.4016,1.83966,5.96744,0.00733,0,0.00032872,0.00032872,0.00032872
29,2877.9,1.26873,1.28724,3.107,0.0048,0.44145,0.76267,0.6671,0.72997,0.5285,0.73022,0.63885,0.68229,0.45684,1.47533,1.76297,5.81134,0.00784,0,0.00032608,0.00032608,0.00032608
30,2985.67,1.30554,1.31755,3.14187,0.00482,0.44405,0.76448,0.65456,0.7075,0.49866,0.72127,0.6751,0.68325,0.45937,1.49615,1.76089,5.75442,0.00768,0,0.00032344,0.00032344,0.00032344
31,3075.63,1.25281,1.24056,3.017,0.0047,0.41719,0.78853,0.66313,0.7288,0.54281,0.74605,0.63684,0.68684,0.46387,1.43369,1.80484,5.93945,0.00728,0,0.0003208,0.0003208,0.0003208
32,3146.55,1.24054,1.2125,3.11503,0.00499,0.44527,0.71189,0.66478,0.68562,0.49887,0.69915,0.66588,0.66837,0.45402,1.47853,1.75804,6.60342,0.00848,0,0.00031816,0.00031816,0.00031816
33,3255.36,1.24521,1.2305,2.95609,0.00475,0.43442,0.77247,0.66076,0.71304,0.52149,0.69796,0.64224,0.66919,0.44714,1.43018,1.84191,5.89511,0.00746,0,0.00031552,0.00031552,0.00031552
34,3333.93,1.20411,1.18748,2.84705,0.0045,0.42376,0.81886,0.64343,0.71684,0.5211,0.77096,0.62803,0.6771,0.46732,1.40494,1.8411,6.16166,0.00737,0,0.00031288,0.00031288,0.00031288
35,3425.2,1.2184,1.22195,2.82182,0.00463,0.43699,0.76787,0.65819,0.70772,0.51616,0.75259,0.64162,0.68565,0.46234,1.46527,1.7509,6.03749,0.00758,0,0.00031024,0.00031024,0.00031024
36,3527.54,1.19237,1.17981,2.7715,0.00468,0.43154,0.78612,0.61468,0.71085,0.50448,0.70019,0.67069,0.68441,0.46176,1.47832,1.7553,6.00209,0.00751,0,0.0003076,0.0003076,0.0003076
