epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
117,10894.7,0.8315,0.88003,1.5862,0.00267,0.32911,0.76121,0.68855,0.71225,0.54787,0.74443,0.67897,0.6986,0.48416,1.42058,2.03188,6.26519,0.0072,0,9.376e-05,9.376e-05,9.376e-05
118,10983.4,0.81037,0.83716,1.50876,0.00271,0.32932,0.78883,0.66257,0.71101,0.54543,0.76549,0.65402,0.68934,0.47803,1.42692,2.06092,6.27129,0.0073,0,9.112e-05,9.112e-05,9.112e-05
119,11088,0.82043,0.86097,1.64844,0.00278,0.33756,0.76875,0.68487,0.71519,0.55092,0.75167,0.68327,0.70133,0.47798,1.38386,2.05573,6.34962,0.00702,0,8.848e-05,8.848e-05,8.848e-05
120,11157.5,0.80552,0.82754,1.52043,0.00268,0.33025,0.73842,0.67834,0.71531,0.54246,0.72879,0.68394,0.69868,0.47718,1.43603,2.10988,6.30002,0.00746,0,8.584e-05,8.584e-05,8.584e-05
121,11245,0.82195,0.82888,1.53836,0.00277,0.33444,0.79939,0.63832,0.70854,0.54617,0.71649,0.70177,0.69912,0.47505,1.41469,2.12744,6.21266,0.00733,0,8.32e-05,8.32e-05,8.32e-05
122,11328.4,0.82275,0.84762,1.5237,0.00275,0.32143,0.72375,0.70309,0.71811,0.55143,0.73416,0.68824,0.70124,0.48211,1.41601,2.05822,6.16078,0.0074,0,8.056e-05,8.056e-05,8.056e-05
123,11418.5,0.80196,0.81144,1.51266,0.00267,0.32094,0.76953,0.67816,0.71028,0.5496,0.74795,0.67294,0.69663,0.48257,1.40091,2.0536,6.38742,0.00721,0,7.792e-05,7.792e-05,7.792e-05
124,11499.3,0.81824,0.86843,1.57886,0.00279,0.32824,0.7668,0.67414,0.70703,0.54851,0.74631,0.68433,0.70104,0.47994,1.40567,2.08019,6.37121,0.00733,0,7.528e-05,7.528e-05,7.528e-05
125,11590,0.79602,0.82178,1.49497,0.00261,0.32307,0.78412,0.67483,0.70978,0.55248,0.76063,0.66568,0.68868,0.47636,1.41892,2.10724,6.36849,0.00735,0,7.264e-05,7.264e-05,7.264e-05
126,11659.3,0.79661,0.86123,1.53678,0.00252,0.325,0.76572,0.68112,0.71757,0.55682,0.73866,0.67649,0.68922,0.48392,1.40931,2.10954,6.44011,0.0072,0,7e-05,7e-05,7e-05
127,11744.4,0.77494,0.82581,1.50441,0.00253,0.32021,0.7384,0.69294,0.70494,0.54954,0.72068,0.68952,0.68307,0.47733,1.42518,2.09022,6.54655,0.00741,0,6.736e-05,6.736e-05,6.736e-05
128,11821.7,0.79588,0.83959,1.54396,0.00261,0.3241,0.74487,0.68968,0.70131,0.54859,0.72551,0.67221,0.6809,0.47843,1.4295,2.08993,6.46071,0.0074,0,6.472e-05,6.472e-05,6.472e-05
129,11936.4,0.78422,0.80272,1.47179,0.00267,0.32429,0.77846,0.68294,0.71936,0.56289,0.76829,0.65368,0.69505,0.48215,1.41362,2.07521,6.45904,0.00721,0,6.208e-05,6.208e-05,6.208e-05
130,12013.1,0.79202,0.83572,1.50789,0.00264,0.32859,0.76167,0.69476,0.71775,0.55189,0.76631,0.64666,0.68553,0.47835,1.42695,2.11442,6.6356,0.00729,0,5.944e-05,5.944e-05,5.944e-05
131,12123.4,0.78506,0.84034,1.56355,0.0026,0.32691,0.74611,0.7038,0.70754,0.5506,0.76148,0.64196,0.67578,0.47237,1.42383,2.11743,6.50685,0.00725,0,5.68e-05,5.68e-05,5.68e-05
132,12235.6,0.77564,0.80516,1.48048,0.00262,0.328,0.76863,0.68898,0.71331,0.55354,0.75177,0.64996,0.67673,0.48111,1.42337,2.0854,6.33532,0.00723,0,5.416e-05,5.416e-05,5.416e-05
133,12314.2,0.76925,0.82219,1.49963,0.00251,0.3135,0.79317,0.67848,0.7115,0.54716,0.76185,0.65587,0.67892,0.47839,1.42923,2.10373,6.40933,0.00728,0,5.152e-05,5.152e-05,5.152e-05
134,12386.9,0.76008,0.78102,1.43925,0.00253,0.31897,0.78953,0.67054,0.7065,0.54591,0.76445,0.6553,0.68402,0.4807,1.43996,2.09333,6.33931,0.00755,0,4.888e-05,4.888e-05,4.888e-05
135,12498.1,0.80587,0.83877,1.6001,0.00267,0.32829,0.80626,0.66444,0.71058,0.55049,0.76306,0.64647,0.68523,0.47728,1.42748,2.07762,6.32202,0.00745,0,4.624e-05,4.624e-05,4.624e-05
136,12565.3,0.79083,0.83899,1.54223,0.00258,0.32402,0.79252,0.66395,0.70663,0.54476,0.73029,0.66724,0.6821,0.47609,1.4423,2.06726,6.40112,0.0075,0,4.36e-05,4.36e-05,4.36e-05
137,12663,0.80307,0.8514,1.54846,0.00256,0.32734,0.74247,0.69713,0.70627,0.55021,0.76892,0.6415,0.68811,0.47896,1.42957,2.03513,6.46964,0.00743,0,4.096e-05,4.096e-05,4.096e-05
138,12751.1,0.80662,0.84236,1.52201,0.00258,0.33641,0.79724,0.66492,0.70413,0.54849,0.77541,0.6546,0.68766,0.47869,1.43798,2.03174,6.43499,0.00749,0,3.832e-05,3.832e-05,3.832e-05
139,12859.3,0.76213,0.80452,1.44067,0.00243,0.32796,0.76223,0.68247,0.70812,0.54876,0.74133,0.66724,0.69066,0.48023,1.42963,2.05017,6.36744,0.00737,0,3.568e-05,3.568e-05,3.568e-05
140,12947.1,0.78373,0.86444,1.49386,0.00248,0.33668,0.76259,0.70505,0.71011,0.5555,0.739,0.68954,0.69045,0.48303,1.42206,2.06818,6.30316,0.00728,0,3.304e-05,3.304e-05,3.304e-05
141,13041.7,0.65997,0.70098,1.09986,0.00202,0.30122,0.77042,0.6921,0.70828,0.54587,0.7436,0.6799,0.68638,0.47168,1.41757,2.09071,6.36391,0.00732,0,3.04e-05,3.04e-05,3.04e-05
142,13076.9,0.66611,0.72411,1.12113,0.00203,0.29414,0.77366,0.68769,0.70613,0.54846,0.73414,0.67065,0.68405,0.47392,1.41169,2.10241,6.49422,0.00725,0,2.776e-05,2.776e-05,2.776e-05
143,13144,0.64465,0.67792,1.10077,0.00202,0.29502,0.76161,0.69027,0.7031,0.55104,0.74168,0.68177,0.68526,0.47843,1.40814,2.11277,6.51254,0.00718,0,2.512e-05,2.512e-05,2.512e-05
144,13205.5,0.66059,0.6986,1.09991,0.00204,0.30049,0.74637,0.69423,0.70263,0.54547,0.74776,0.68236,0.68875,0.47943,1.41448,2.10787,6.5013,0.00726,0,2.248e-05,2.248e-05,2.248e-05
145,13279.5,0.65667,0.68706,1.14897,0.00209,0.30023,0.75373,0.69584,0.70251,0.54742,0.73933,0.68474,0.68357,0.47395,1.41046,2.11603,6.53891,0.00723,0,1.984e-05,1.984e-05,1.984e-05
146,13323.9,0.65823,0.69889,1.11525,0.00206,0.29901,0.75259,0.69523,0.70007,0.54727,0.73184,0.68588,0.68157,0.47375,1.41004,2.10225,6.50808,0.00724,0,1.72e-05,1.72e-05,1.72e-05
147,13366.7,0.66977,0.70455,1.16426,0.0021,0.30707,0.74803,0.6968,0.7002,0.54541,0.73347,0.69184,0.68492,0.47812,1.41695,2.09934,6.49368,0.00735,0,1.456e-05,1.456e-05,1.456e-05
148,13404.8,0.65904,0.68621,1.12677,0.00202,0.29208,0.7466,0.69882,0.69876,0.54413,0.73499,0.69041,0.68285,0.47453,1.4181,2.09908,6.56664,0.00729,0,1.192e-05,1.192e-05,1.192e-05
149,13447.6,0.65166,0.69224,1.08207,0.00201,0.2971,0.75432,0.68787,0.69796,0.5484,0.73826,0.68166,0.68004,0.47582,1.41853,2.1046,6.57442,0.00726,0,9.28e-06,9.28e-06,9.28e-06
150,13497,0.64707,0.70809,1.07608,0.00196,0.2924,0.75006,0.68493,0.69755,0.54788,0.73539,0.68464,0.68173,0.47472,1.41809,2.10358,6.58265,0.00727,0,6.64e-06,6.64e-06,6.64e-06
